drug,number,proportion,toxicity,nadir,recovery,class
Gemcitabine,58572,0.11,0.34,14,22,AM
Leucovorin-FU,112208,0.2,0.22,24,28,AM
Paclitaxel,40441,0.07,0.75,10,18,NS
Irinotecan,35481,0.06,0.48,8,22,NS
Oxaliplatin,31141,0.06,0,0,0,PT
Carboplatin,22154,0.04,0,0,0,PT
Bevacizumab,21618,0.04,0,0,0,AB
Cisplatin,19102,0.03,0,0,0,PT
Docetaxel,16811,0.03,0.149,10,19,NS
Trastuzumab,15246,0.03,0,0,0,AB
Cyclophosphamide,13280,0.02,0.69,9,19,AK
Pemetrexed,12361,0.02,0.234,8,17,AM
Doxorubicin,12007,0.02,0.889,14,21,O
Rituximab,11194,0.02,0,0,0,AB
Etoposide,10827,0.02,0.46,14,24,NS
Vinorelbine,9722,0.02,0.8,9,16,O
Bortezomib,8944,0.02,0,0,0,O
Capacitabine,8667,0.02,0,0,0,AM
Methotrexate,6769,0.01,0.071,8,13,AM
Vincristine,6329,0.01,0,0,0,NS
Cetuximab,6159,0.01,0,0,0,AB
Floxuridine,9888,0.02,0,0,0,AM
Ifosfamide,4259,0.01,0.27,11,19,AK
Temsirolimus,4053,0.01,0,0,0,O
